Actions,WIID,Description,Type,Status,Date
,104194368,Process Vendor Invoice,WI3,Open,2018-04-27
,104194338,Calculate Client Security Hash,WI5,Open,2024-09-28
,104194371,Research Client Check Copy,WI2,Open,2020-06-05
,104194386,Research Client Check Copy,WI2,Open,2022-12-20
,104194403,Verify Account Position,WI1,Open,2023-10-26
,104194396,Verify Account Position,WI1,Open,2019-03-20
,104194359,Process Vendor Invoice,WI3,Open,2018-06-13
,104194361,Process Vendor Invoice,WI3,Open,2018-08-30
,104194331,Calculate Client Security Hash,WI5,Open,2024-10-06
,104194349,Generate Yearly Report for Vendor,WI4,Open,2020-01-13
,104194395,Verify Account Position,WI1,Open,2019-03-01
,104194413,Verify Account Position,WI1,Open,2017-08-25
,104194406,Verify Account Position,WI1,Open,2021-03-14
,104194339,Calculate Client Security Hash,WI5,Open,2023-12-04
,104194398,Verify Account Position,WI1,Open,2018-01-06
,104194343,Generate Yearly Report for Vendor,WI4,Open,2024-09-11
,104194405,Verify Account Position,WI1,Open,2019-09-01
,104194391,Research Client Check Copy,WI2,Open,2023-01-17
,104194355,Generate Yearly Report for Vendor,WI4,Open,2021-02-04
,104194369,Research Client Check Copy,WI2,Open,2023-05-16
,104194385,Research Client Check Copy,WI2,Open,2021-11-20
,104194409,Verify Account Position,WI1,Open,2021-09-20
,104194401,Verify Account Position,WI1,Open,2021-06-29
,104194363,Process Vendor Invoice,WI3,Open,2020-03-03
,104194404,Verify Account Position,WI1,Open,2018-09-07
,104194407,Verify Account Position,WI1,Open,2017-02-09
,104194415,Verify Account Position,WI1,Open,2022-02-15
,104194377,Research Client Check Copy,WI2,Open,2022-09-15
,104194332,Calculate Client Security Hash,WI5,Open,2019-05-09
,104194346,Generate Yearly Report for Vendor,WI4,Open,2018-10-31
,104194347,Generate Yearly Report for Vendor,WI4,Open,2023-02-05
,104194357,Process Vendor Invoice,WI3,Open,2018-05-04
,104194412,Verify Account Position,WI1,Open,2018-11-25
,104194373,Research Client Check Copy,WI2,Open,2024-11-21
,104194372,Research Client Check Copy,WI2,Open,2022-09-08
,104194364,Process Vendor Invoice,WI3,Open,2017-09-09
,104194383,Research Client Check Copy,WI2,Open,2024-10-01
,104194380,Research Client Check Copy,WI2,Open,2023-10-26
,104194348,Generate Yearly Report for Vendor,WI4,Open,2017-11-06
,104194330,Calculate Client Security Hash,WI5,Open,2018-09-22
,104194344,Generate Yearly Report for Vendor,WI4,Open,2022-12-28
,104194351,Generate Yearly Report for Vendor,WI4,Open,2020-04-26
,104194337,Calculate Client Security Hash,WI5,Open,2019-09-04
,104194400,Verify Account Position,WI1,Open,2022-07-02
,104194366,Process Vendor Invoice,WI3,Open,2024-10-22
,104194382,Research Client Check Copy,WI2,Open,2020-05-07
,104194335,Calculate Client Security Hash,WI5,Open,2019-04-29
,104194408,Verify Account Position,WI1,Open,2021-11-13
,104194345,Generate Yearly Report for Vendor,WI4,Open,2021-09-11
,104194392,Research Client Check Copy,WI2,Open,2023-01-11
,104194342,Generate Yearly Report for Vendor,WI4,Open,2023-07-13
,104194358,Process Vendor Invoice,WI3,Open,2023-11-30
,104194379,Research Client Check Copy,WI2,Open,2023-05-26
,104194360,Process Vendor Invoice,WI3,Open,2021-11-06
,104194374,Research Client Check Copy,WI2,Open,2021-06-14
,104194354,Generate Yearly Report for Vendor,WI4,Open,2017-09-10
,104194353,Generate Yearly Report for Vendor,WI4,Open,2022-10-01
,104194389,Research Client Check Copy,WI2,Open,2022-05-18
,104194333,Calculate Client Security Hash,WI5,Open,2017-07-17
,104194336,Calculate Client Security Hash,WI5,Open,2018-05-22
,104194356,Process Vendor Invoice,WI3,Open,2021-02-07
,104194397,Verify Account Position,WI1,Open,2023-09-19
,104194381,Research Client Check Copy,WI2,Open,2020-12-20
,104194390,Research Client Check Copy,WI2,Open,2018-07-21
,104194365,Process Vendor Invoice,WI3,Open,2019-11-24
,104194387,Research Client Check Copy,WI2,Open,2019-09-04
,104194410,Verify Account Position,WI1,Open,2020-11-07
,104194393,Research Client Check Copy,WI2,Open,2021-10-04
,104194399,Verify Account Position,WI1,Open,2022-10-14
,104194334,Calculate Client Security Hash,WI5,Open,2022-12-03
,104194341,Calculate Client Security Hash,WI5,Open,2017-05-16
,104194367,Process Vendor Invoice,WI3,Open,2022-02-16
,104194384,Research Client Check Copy,WI2,Open,2023-03-07
,104194352,Generate Yearly Report for Vendor,WI4,Open,2021-08-14
,104194375,Research Client Check Copy,WI2,Open,2021-10-23
,104194340,Calculate Client Security Hash,WI5,Open,2021-05-18
,104194378,Research Client Check Copy,WI2,Open,2019-08-23
,104194402,Verify Account Position,WI1,Open,2020-07-15
,104194362,Process Vendor Invoice,WI3,Open,2019-03-18
,104194350,Generate Yearly Report for Vendor,WI4,Open,2019-11-17
,104194394,Verify Account Position,WI1,Open,2018-03-09
,104194370,Research Client Check Copy,WI2,Open,2018-09-08
,104194411,Verify Account Position,WI1,Open,2020-02-05
,104194414,Verify Account Position,WI1,Open,2019-06-28
,104194376,Research Client Check Copy,WI2,Open,2024-06-17
,104194388,Research Client Check Copy,WI2,Open,2024-07-24
